"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,"Steven","King","SKING","1.515.555.0100","2013-06-17T00:00:00Z","AD_PRES",24000,,,90
101,"Neena","Yang","NYANG","1.515.555.0101","2015-09-21T00:00:00Z","AD_VP",17000,,100,90
102,"Lex","Garcia","LGARCIA","1.515.555.0102","2011-01-13T00:00:00Z","AD_VP",17000,,100,90
103,"Alexander","James","AJAMES","1.590.555.0103","2016-01-03T00:00:00Z","IT_PROG",9000,,102,60
104,"Bruce","Miller","BMILLER","1.590.555.0104","2017-05-21T00:00:00Z","IT_PROG",6000,,103,60
105,"David","Williams","DWILLIAMS","1.590.555.0105","2015-06-25T00:00:00Z","IT_PROG",4800,,103,60
106,"Valli","Jackson","VJACKSON","1.590.555.0106","2016-02-05T00:00:00Z","IT_PROG",4800,,103,60
107,"Diana","Nguyen","DNGUYEN","1.590.555.0107","2017-02-07T00:00:00Z","IT_PROG",4200,,103,60
108,"Nancy","Gruenberg","NGRUENBE","1.515.555.0108","2012-08-17T00:00:00Z","FI_MGR",12008,,101,100
109,"Daniel","Faviet","DFAVIET","1.515.555.0109","2012-08-16T00:00:00Z","FI_ACCOUNT",9000,,108,100
110,"John","Chen","JCHEN","1.515.555.0110","2015-09-28T00:00:00Z","FI_ACCOUNT",8200,,108,100
111,"Ismael","Sciarra","ISCIARRA","1.515.555.0111","2015-09-30T00:00:00Z","FI_ACCOUNT",7700,,108,100
112,"Jose Manuel","Urman","JMURMAN","1.515.555.0112","2016-03-07T00:00:00Z","FI_ACCOUNT",7800,,108,100
113,"Luis","Popp","LPOPP","1.515.555.0113","2017-12-07T00:00:00Z","FI_ACCOUNT",6900,,108,100
114,"Den","Li","DLI","1.515.555.0114","2012-12-07T00:00:00Z","PU_MAN",11000,,100,30
115,"Alexander","Khoo","AKHOO","1.515.555.0115","2013-05-18T00:00:00Z","PU_CLERK",3100,,114,30
116,"Shelli","Baida","SBAIDA","1.515.555.0116","2015-12-24T00:00:00Z","PU_CLERK",2900,,114,30
117,"Sigal","Tobias","STOBIAS","1.515.555.0117","2015-07-24T00:00:00Z","PU_CLERK",2800,,114,30
118,"Guy","Himuro","GHIMURO","1.515.555.0118","2016-11-15T00:00:00Z","PU_CLERK",2600,,114,30
119,"Karen","Colmenares","KCOLMENA","1.515.555.0119","2017-08-10T00:00:00Z","PU_CLERK",2500,,114,30
120,"Matthew","Weiss","MWEISS","1.650.555.0120","2014-07-18T00:00:00Z","ST_MAN",8000,,100,50
121,"Adam","Fripp","AFRIPP","1.650.555.0121","2015-04-10T00:00:00Z","ST_MAN",8200,,100,50
122,"Payam","Kaufling","PKAUFLIN","1.650.555.0122","2013-05-01T00:00:00Z","ST_MAN",7900,,100,50
123,"Shanta","Vollman","SVOLLMAN","1.650.555.0123","2015-10-10T00:00:00Z","ST_MAN",6500,,100,50
124,"Kevin","Mourgos","KMOURGOS","1.650.555.0124","2017-11-16T00:00:00Z","ST_MAN",5800,,100,50
125,"Julia","Nayer","JNAYER","1.650.555.0125","2015-07-16T00:00:00Z","ST_CLERK",3200,,120,50
126,"Irene","Mikkilineni","IMIKKILI","1.650.555.0126","2016-09-28T00:00:00Z","ST_CLERK",2700,,120,50
127,"James","Landry","JLANDRY","1.650.555.0127","2017-01-14T00:00:00Z","ST_CLERK",2400,,120,50
128,"Steven","Markle","SMARKLE","1.650.555.0128","2018-03-08T00:00:00Z","ST_CLERK",2200,,120,50
129,"Laura","Bissot","LBISSOT","1.650.555.0129","2015-08-20T00:00:00Z","ST_CLERK",3300,,121,50
130,"Mozhe","Atkinson","MATKINSO","1.650.555.0130","2015-10-30T00:00:00Z","ST_CLERK",2800,,121,50
131,"James","Marlow","JAMRLOW","1.650.555.0131","2015-02-16T00:00:00Z","ST_CLERK",2500,,121,50
132,"TJ","Olson","TJOLSON","1.650.555.0132","2017-04-10T00:00:00Z","ST_CLERK",2100,,121,50
133,"Jason","Mallin","JMALLIN","1.650.555.0133","2014-06-14T00:00:00Z","ST_CLERK",3300,,122,50
134,"Michael","Rogers","MROGERS","1.650.555.0134","2016-08-26T00:00:00Z","ST_CLERK",2900,,122,50
135,"Ki","Gee","KGEE","1.650.555.0135","2017-12-12T00:00:00Z","ST_CLERK",2400,,122,50
136,"Hazel","Philtanker","HPHILTAN","1.650.555.0136","2018-02-06T00:00:00Z","ST_CLERK",2200,,122,50
137,"Renske","Ladwig","RLADWIG","1.650.555.0137","2013-07-14T00:00:00Z","ST_CLERK",3600,,123,50
138,"Stephen","Stiles","SSTILES","1.650.555.0138","2015-10-26T00:00:00Z","ST_CLERK",3200,,123,50
139,"John","Seo","JSEO","1.650.555.0139","2016-02-12T00:00:00Z","ST_CLERK",2700,,123,50
140,"Joshua","Patel","JPATEL","1.650.555.0140","2016-04-06T00:00:00Z","ST_CLERK",2500,,123,50
